record_type,record_id,record_name,record_url,citation,source_type,exists,biblio_correct,supports_record,notes
entity,6,فلسطين / ישראל,https://atlaspi.it/v1/entities/6,"Morris, B. 1948: A History of the First Arab-Israeli War (2008)",academic,,,,
entity,44,Tu'i Tonga,https://atlaspi.it/v1/entities/44,"Gunson, N. (1997). Great Families of Polynesia: Inter-island Links and Marriage Patterns. Journal of Pacific History, 32(2), 139-179. DOI:10.1080/00223349708572834.",academic,,,,
entity,221,Tsenacommacah,https://atlaspi.it/v1/entities/221,"Rountree, H. C. & Turner, E. R. III (2002). Before and After Jamestown: Virginia's Powhatans and Their Predecessors. University Press of Florida. ISBN 9780813029337.",academic,,,,
entity,222,Wôpanâak,https://atlaspi.it/v1/entities/222,"Lepore, J. The Name of War (1998), Knopf",academic,,,,
entity,223,Pueblo,https://atlaspi.it/v1/entities/223,"Preucel, R.W. Archaeologies of the Pueblo Revolt (2002), University of New Mexico Press",academic,,,,
entity,244,Weimarer Republik,https://atlaspi.it/v1/entities/244,"Peukert, D. J. K. (1991). The Weimar Republic: The Crisis of Classical Modernity. Hill and Wang. ISBN 978-0809015566.",academic,,,,
entity,251,دولت شاهنشاهی ایران,https://atlaspi.it/v1/entities/251,"Ansari, Ali M. Modern Iran since 1797: Reform and Revolution. 3rd ed. London: Routledge, 2019. ISBN 978-1-138-89719-4.",book,,,,
entity,254,דולة إسرائيل,https://atlaspi.it/v1/entities/254,"Risoluzioni ONU 181, 242, 338",primary,,,,
entity,260,Deutsch-Ostafrika,https://atlaspi.it/v1/entities/260,"Iliffe, J. A Modern History of Tanganyika (1979)",academic,,,,
entity,289,匈奴,https://atlaspi.it/v1/entities/289,"Sima Qian, Shiji (Records of the Grand Historian), ch. 110 (c. 90 BCE)",primary,,,,
entity,300,Bose Levu Vakaturaga,https://atlaspi.it/v1/entities/300,"Lal, B.V. Broken Waves: A History of the Fiji Islands in the Twentieth Century (1992)",academic,,,,
entity,318,Vanuatu chiefdoms,https://atlaspi.it/v1/entities/318,"Shineberg, D. The People Trade: Pacific Island Laborers and New Caledonia, 1865-1930 (1999)",academic,,,,
entity,348,هپتالیان / Ηφθαλιται,https://atlaspi.it/v1/entities/348,"Litvinsky, B.A. (ed.) History of Civilizations of Central Asia, vol. 3 (1996)",academic,,,,
entity,367,Tundo,https://atlaspi.it/v1/entities/367,"Junker, L. L. (1999). Raiding, Trading, and Feasting: The Political Economy of Philippine Chiefdoms. University of Hawai'i Press. ISBN 978-0824820350.",academic,,,,
